,Year,Disaster Type,Event Name,Country,Total Affected
317,2010,Storm,Hurricane Frank,Mexico,154000.0
318,2010,Flood,,Mexico,1000000.0
319,2010,Flood,,Panama,1035.0
320,2010,Flood,,Panama,6296.0
321,2010,Flood,,Panama,24610.0
322,2010,Storm,"Tropical storm ""Alex""",El Salvador,500.0
323,2010,Storm,"Tropical storm ""Alex""",Mexico,170000.0
324,2010,Storm,Hurricane Karl,Mexico,230000.0
325,2010,Earthquake,,Mexico,25232.0
326,2010,Landslide,,Mexico,
327,2010,Landslide,,Mexico,
328,2010,Transport accident,Helicopter Bell 412,Mexico,
329,2010,Transport accident,Helicopter,Mexico,
330,2010,Transport accident,,Mexico,11.0
331,2010,Transport accident,,Mexico,
332,2010,Transport accident,,Mexico,
333,2010,Transport accident,,Mexico,4.0
334,2010,Industrial accident,Pipeline,Mexico,52.0
335,2010,Flood,,Nicaragua,4860.0
336,2010,Flood,,Nicaragua,71000.0
337,2010,Storm,"Tropical storm ""Alex""",Nicaragua,
338,2010,Storm,Tropical storm Matthew,Nicaragua,
339,2010,Epidemic,Leptospirosis,Nicaragua,395.0
340,2010,Flood,,Panama,1000.0
341,2010,Storm,Tropical storm Matthew,El Salvador,
342,2010,Miscellaneous accident,Prison,El Salvador,22.0
343,2011,Storm,"Tropical storm ""Beatrix""",Mexico,450.0
344,2011,Storm,"Tropical Storm ""Arlene""",Mexico,300000.0
345,2011,Wildfire,,Mexico,
346,2011,Storm,"Tropical storm ""Dora""",Mexico,200000.0
347,2011,Extreme temperature,,Mexico,120000.0
348,2011,Industrial accident,Coal mine,Mexico,
349,2011,Miscellaneous accident,Prison,Mexico,
350,2011,Flood,,Costa Rica,46695.0
351,2011,Flood,,Guatemala,528753.0
352,2011,Flood,,Honduras,69798.0
353,2011,Earthquake,,Guatemala,400.0
354,2011,Flood,,Guatemala,
355,2011,Landslide,,Guatemala,
356,2011,Extreme temperature,,Guatemala,2643.0
357,2012,Flood,,Costa Rica,9523.0
358,2012,Drought,,Guatemala,266485.0
359,2012,Earthquake,,Costa Rica,762.0
360,2012,Earthquake,,Guatemala,1321742.0
361,2012,Volcanic activity,,Guatemala,10000.0
362,2012,Drought,,Honduras,125000.0
363,2012,Miscellaneous accident,Granja Penal de Comayagua Penitentiary,Honduras,596.0
364,2012,Miscellaneous accident,Penitentiary,Honduras,
365,2013,Epidemic,Dengue,Costa Rica,12000.0
366,2013,Earthquake,,Guatemala,572.0
367,2013,Epidemic,Dengue,Guatemala,1977.0
368,2013,Transport accident,,Guatemala,40.0
369,2013,Epidemic,Dengue,Honduras,34128.0
370,2014,Flood,,Honduras,20000.0
371,2011,Storm,Hurricane Jova,Mexico,50000.0
372,2011,Flood,,Nicaragua,143018.0
373,2011,Flood,,Panama,2000.0
374,2011,Flood,,Panama,2000.0
375,2011,Flood,,El Salvador,300000.0
376,2011,Storm,Hurricane Nate,Mexico,
377,2011,Earthquake,,Mexico,152.0
378,2011,Flood,,Mexico,250000.0
379,2011,Flood,,Mexico,190000.0
380,2011,Flood,,Mexico,40000.0
381,2011,Drought,,Mexico,2500000.0
382,2012,Flood,,Panama,5118.0
383,2012,Flood,,Panama,4330.0
384,2012,Earthquake,,Mexico,49011.0
385,2012,Storm,Ernesto,Mexico,
386,2012,Storm,Hurricane Carlotta,Mexico,87000.0
387,2012,Transport accident,,Mexico,20.0
388,2012,Transport accident,,Mexico,22.0
389,2012,Industrial accident,Gaz factory,Mexico,26.0
390,2012,Flood,,Nicaragua,29500.0
391,2013,Storm,Tropical storm Fernand,Mexico,5000.0
392,2013,Storm,Hurricane Manuel,Mexico,105000.0
393,2013,Storm,Hurricane Ingrid,Mexico,50000.0
394,2013,Flood,,Mexico,
395,2013,Storm,Hurricane Barbara,Mexico,12000.0
396,2013,Transport accident,,Mexico,
397,2013,Transport accident,,Mexico,14.0
398,2013,Transport accident,,Mexico,25.0
399,2013,Industrial accident,Oil company Pemex Building,Mexico,100.0
400,2013,Miscellaneous accident,Fireworks,Mexico,80.0
401,2013,Industrial accident,,Mexico,1540.0
402,2013,Flood,,Nicaragua,14149.0
403,2013,Epidemic,Dengue,Nicaragua,1310.0
404,2013,Drought,,Panama,
405,2013,Volcanic activity,Chaparrastique Volcano,El Salvador,63079.0
406,2014,Storm,Boris,Guatemala,100000.0
407,2014,Flood,,Guatemala,
408,2014,Flood,,Honduras,3000.0
409,2014,Drought,,Honduras,571710.0
410,2014,Drought,,Costa Rica,
411,2014,Earthquake,,Guatemala,94783.0
412,2014,Extreme temperature,,Guatemala,8141.0
413,2014,Drought,,Guatemala,1300000.0
414,2014,Transport accident,,Honduras,42.0
415,2015,Flood,,Costa Rica,9666.0
416,2015,Flood,,Belize,20000.0
417,2015,Volcanic activity,Turrialba,Costa Rica,18450.0
418,2015,Flood,,Guatemala,56845.0
419,2015,Landslide,,Guatemala,1112.0
420,2015,Epidemic,Chikungunya,Guatemala,15211.0
421,2015,Industrial accident,,Guatemala,12017.0
422,2015,Flood,,Guatemala,8291.0
423,2016,Storm,Tropical storm 'Earl',Belize,10355.0
424,2016,Transport accident,,Costa Rica,245.0
425,2016,Landslide,,Guatemala,46.0
426,2016,Storm,Tropical storm 'Earl',Guatemala,55.0
427,2016,Storm,Tropical storm 'Earl',Honduras,151.0
428,2014,Storm,Boris,Mexico,
429,2014,Storm,Hurricane Odile,Mexico,75135.0
430,2014,Storm,Tropical storm Trudy,Mexico,30000.0
431,2014,Flood,,Nicaragua,60345.0
432,2014,Flood,,Panama,116.0
433,2014,Storm,Tropical storm Dolly,Mexico,1500.0
434,2014,Storm,Hurricane Marie,Mexico,30000.0
435,2014,Storm,Hurricane Norbert,Mexico,7500.0
436,2014,Earthquake,,Mexico,381.0
437,2014,Earthquake,,Mexico,27000.0
438,2014,Earthquake,,Nicaragua,12281.0
439,2014,Transport accident,,Nicaragua,13.0
440,2014,Drought,,Nicaragua,460000.0
441,2014,Industrial accident,Chemical herbicide 'Atrazine',Panama,80743.0
442,2014,Epidemic,Dengue,El Salvador,12783.0
443,2014,Drought,,El Salvador,700000.0
444,2015,Storm,,Mexico,1471.0
445,2015,Storm,Hurricane Patricia,Mexico,15000.0
446,2015,Storm,,Mexico,2320.0
447,2015,Flood,,Mexico,3000.0
448,2015,Transport accident,,Mexico,20.0
449,2015,Transport accident,,Mexico,3.0
450,2015,Transport accident,,Mexico,100.0
451,2015,Transport accident,,Mexico,10.0
452,2015,Transport accident,,Mexico,30.0
453,2015,Transport accident,,Mexico,31.0
454,2015,Flood,,Nicaragua,3750.0
455,2015,Flood,,Panama,3500.0
